question,cluster_label,frequency,sentence_exemplar
1,appointment,46,for appointment we have to call them 1 week to 2 weeks before .
1,wait,44,there are 1 dealership only they should open more because we have to wait around 4 5 days .
1,call,32,i made them call but they did not pick the call so i made the call to the showroom and they provide me one number .
1,on_time,16,if they are providing a time period then they should fulfill on given time .
1,pick,15,pick up and drop facility should be available .
1,emerg,11,"one time i have an emergency , when i call them for appointment for pick up and drop but they not done ."
1,staff,10,there is a confusion in between staff of dealership .
1,locat,10,location is convenient place and charges are normal .
1,inform,10,"when i called at service center appointment my servicing the car , then they told me , now , we had not time , you are called us before time only , they should be given details to the customer about appointment time ."
1,receiv,8,nobody comes to receive us .
1,app,7,such mobile app toyota must add so that we do not face any problem in appointment fixing .
1,fix,6,"i was travelling from chennai to coimbatore for all service , when i ask for appointment they normally delays two days to fix the appointment itself ."
1,deliv,6,they should deliver the car at the give time but here it takes more time to deliver the car .
1,number,5,but the customer care people are very adamant that they cannot give the number .
1,onlin,5,appointment should be book an online .
1,sm,5,when i call in the center then they told me your appointment was fix that why message should become .
2,holidays,13,"as there are many people those who do the service , they only get time for doing servicing on holiday only ."
2,sunday,225,service center should be open on sunday .
2,weekend,5,so instead if they would be working on the weekends it would be more comfortable for the customers .
2,specific_time,331,
3,detail,29,the dealership staff never gives the proper information about the services charges . they never gives the correct details about their services . they need to improve in this aspects .
3,updat,7,they should fulfill their commitment and customer should not follow up them they should proactively update the customer about the problems .
3,advis,32,in car which problem is their they should proper advice to them . they should first inform them which problem is their because customer can face problem . that 's why proper information should be provide .
3,commit,4,if the service advisor makes any commitment then they must fulfill their commitments or at first only tell us if you cannot do it
3,behavior,9,staff behavior its not good they should improve their behavior
3,knowledg,16,staff should have proper knowledge .
3,train,8,"dealership staff should have the fully knowledge about the vehicle . if we are complaining about the maintenance park , they are not aware about the thing they are not able to tell the issues of our vehicle part . they should given proper training about the vehicle fast training everything"
3,guid,7,while for the service they must give explanation and guide us how to maintain properly .
3,question,10,dealership do not give proper explanation to the customers . they do not tell or explain while giving the car for servicing nor while taking it back after servicing . they only say that the bill is ready so i myself ask them if there is any query . they only tell that everything is serviced instead of giving the explanation .
3,information,29,staff are not giving proper information about servicing . they should give us detail about the work they are going to do at the time of servicing .
3,inform,34,when we visit for servicing the car they give explanation regarding it i felt same problem in it when we take car for servicing and if there is any issue or we have to keep car for one day there only they should inform about it after servicing they should not tell about it because for that we have to take car again to servicing center .
3,respond,7,they should first listen completely to the customers then give the answer accordingly . if we are complaining on any issue they should work on that .
3,explan_servic_proper,10,they should give proper explanation .
3,problem_servic_staff,25,they not explain me . they not told me accurately what has to repair in car what problem has there in it . in which services have what work had to done . when we have to take the car they not explain me anything .
3,advisor_servic_proper,12,service center manager is not good he is arrogant . the main advisor is also not good . if advisor is wrong then how they can do right work . he was running here and there . there should be one system of work .
3,servic_staff_call,47,"service centers advisor should be call the customer and confirmed . which time coming to the service center . if customer coming to late , then they should be attend the customer and then after attended other customer ."
3,understand_problem_manag,9,they have to understand the customer 's problem 2the management should concentrate on their business
4,clean,843,"car condition and water wash in anaamalai dealership should be improved because after the water wash of the car , the stain remains the same in the glass ."
4,interior,263,if we give vehicle for cleaning to any local service station in village they clean vehicle in just 300 rupees and if we clean internal parts they clean in 600 rupees only .
4,staff,199,supervisors should check the same .
4,check,104,and one person should be their to check the car washing as done properly or not .
4,charg,65,"they should clean the car as they are taking money , they should clean the properly and clean the mats also ."
4,dust,60,we found lot of dust on car after servicing .
4,polish,48,in last service i have done polish on my car but white spots were as it was on car .
4,dri,32,after the work they have told me that they washed my car with the vacuum cleaner but i have seen that they did not use vacuum cleaner they use blowing wind .
4,glass,32,if they should be clean glass with wet cloths m 's gives me good feeling .
5,problem_car_custom,37,all the a servicing time they should explain customer clearly about the problems
5,good_qualiti_improv,34,the quality of their servicing to the car should be more improved .
5,car_servic_time,132,they should improve on the existing work which is done . they do not deliver the car on time as they take more time than committed . after servicing the same issues occur after 2 days due to which we cannot use the car . so they should solve the issues mentioned by the customers correctly .
5,part_car_qualiti,28,parts must be available . must maintain the quality of the parts . available parts are not of proper quality .
5,work_qualiti_car,34,"the work should be done properly carefully , so that we don \? t have to face any problem with our car ."
5,vehicl_custom_problem,31,if customers said about vehicle problems . they have to it in quality . and resolve the problems as per customers requirements
5,servic_qualiti_car,46,they have to give the service with quality so that they customer will never come again to the service center
5,car_time_qualiti,35,"when we give our car for servicing , then they should solve the problem in a same time which have in car ."
5,custom_car_work,32,when customer complaint on servicing they need to so we the problem . if the problem is not been solved the customers needs to know . if we say our complaint they do n't response our complaint .
5,staff_car_servic,36,while service all the problems are not solved properly . only general service is done . the problems have to face again . service staff must guide the customer with proper service to be done on the car . while servicing all the problem must be solved .
6,bu,42,so they should arrange to pick drop till the bus stop or location should be near the bus stop .
6,shop,22,should have a body shop at the dealership location .
6,food,21,"dealership location is little bit far we have to go outside for lunch , so they must provide canteen ."
6,board,13,they should put one board in national highway
6,transport,16,they have to provide the dealership location near to the city otherwise they have to provide transport facilities .
6,toll_jamnagar_help,313,should do some arrangement for toll tax because location can not change .
6,road_citi_highway,178,dealership location should be on road .
