id,comment,label
0,"there is no service experience to share in annamalai dealership . i only felt the bitterness in their service . whenever we go to service center , they always delay it . if we have some another option , then we will not look back this dealership any more . \( when interviewer gave the ht experience example then the customer said that these kind of service is impossible and no chance in annamalai dealership \) if we visit there they will not give at least a tea . i am complaining the same , since last 2 years and still there is no improvement . they will not do the work properly what the customer was mentioned in his car and sure there will be some errors . last time when i serviced my car , they had removed my gsp forgot to fix it and after when i reminded them then they did it properly . i am coming from 52 km and still i am not satisfied with their service experience . once i was there in hyderabad and i lodged a complaint and the toyota dealership manager was met me and apologized for the same and the service was done on the spot . hence these are the two different service of toyota company . while comparing them we get a thinking that the annamalai dealership is no use at all . if we ask any question they do not respond us not speak with us properly . do not give the proper explanation when the car parts are changed . may be they thinks that the customers are not having any other options to go . thus in this same place toyota need to make a new dealership then the annamalai dealership may get some fear and do their work properly .",['no improve']
1,"the quality of the work performed should be first improved as we pay for something and which is not done at a first time and we have to take to them for a same issue and again and they might be charging for every visit , the technician people should have some knowledge .",[u'work_car_qualiti']
2,"they should be more interactive , communicative diligent in work .",[u'work_car_qualiti']
3,"supervisors don \? t take proper care . quality should be improved . charge was high but quality of work was not at all good due to workers supervisors . more service centers should be made , because due to the single service center they don \? t take proper care of our car . if this thing continues then i \? ve to shift to other brand .",[u'servic_qualiti_car']
4,they do not have technical power . i can not say anything they should take care of it .,[u'work_car_qualiti']
5,"quality of the work perform is most important that is the only thing that matter . they should improve on their supervision . their supervisor means work supervisor not customer supervisor those who actually look after the work . then they should go for intensive training and supervision of their mechanic . only one a c mechanic who look after the a c for these entire vehicle and who doesn \? t know his work properly . he is a young fellow i know him . i know him past also from very early . they cannot change the location or communication also to improve which is not in their pre view so that you cannot help . they are doing their best to keep it clean and as friendly as possible , coming with a cup of tea coffee everything . that is fine they are doing their best . this thing don \? t matter much what matter is the ultimately the quality of work that you receive from them . i should get the repair or service 100 .",[u'work_car_qualiti']
6,"the work should be done properly carefully , so that we don \? t have to face any problem with our car .",['car_problem_time']
7,time management should be done . also bottom side of car should be properly cleaned .,['car_problem_time']
8,they did n't complete my request which i made in last service .,[u'servic_qualiti_car']
9,they do not wash car properly because when we see the car we found there was a mud sticked over lower part of the vehicle . they should wash it properly .,[u'vehicl_problem_custom']
10,they should satisfy the customer by servicing,[u'custom_problem_car']
11,if we ask any question they do not respond us . do not give the proper explanation when the any parts are changed .,[u'work_car_qualiti']
12,staff should work properly . whenever we gave car for servicing that they should solve customers query in well manner .,[u'custom_problem_car']
13,dealership management has no responsibility mechanics are good . they have no fault .,[u'work_car_qualiti']
14,"they repair the vehicle only at those parts wherein we have given the complaint but they do not inform that may be after some days , some other problem may raise . as they are the technician they are well aware of the issues with the vehicles so they should pre inform the customers instead of only servicing the parts where the customers have mentioned their complaints .",[u'vehicl_problem_custom']
15,last time when i serviced my car there was small sound from left sides of the car tire . but it was my fault as well that i have not intimated this problem to them . apart from that their services are good .,['car_problem_time']
16,they should perform good quality service in next servicing,[u'servic_qualiti_car']
17,"toyota dealership should arrange rest room for car owners , where they can halt .",[u'work_car_qualiti']
18,"if we tell them about the engine problems , they have to rectify that .",['car_problem_time']
19,car should be clean from outside .,['car_problem_time']
20,action should be taken from the company after giving complaint . they did not replace 1 part due to which i had to face loss . if the condition of the car is good then we can even forget small mistakes . but if the service is not good then we cannot let go the mistakes . they should improve on these things so that we can take our vehicle next time for servicing .,[u'work_car_qualiti']
21,their technicians are not proper . their estimation and communication both are not good . they do not answer properly if any question is asked to them . they delay many things . their time is spent in looking here and there . the technicians who are there they mainly are not educated .,[u'work_car_qualiti']
22,"they should listen to our problems . other than servicing they should solve the other problems in the car , because in",['car_problem_time']
23,staff should work properly and when customer are come in dealership that time staff should properly attend the customer and take car for servicing .,[u'custom_problem_car']
24,if they are doing some work in vehicle should clean afterwards . if they providing the car after servicing car should shine like new car .,[u'work_car_qualiti']
25,they must handle with care . at the time of working they open the cover of bonnet but do not work properly . they leave like that only . after coming home we realize that they have not closed it correctly . we cannot go so far again for such a small thing . they must do it carefully . they just leave like that instead must close properly .,[u'work_car_qualiti']
26,car washing is little not properly should make wash it properly . the problem which get should solve on that time only . yet the problem of my car is not solve . for service i took my car 3 times .,['car_problem_time']
27,after servicing the car had a starting issue . they had tingired the vehicle . as this is a light weight car so tingeing should not be done for this vehicle .,[u'vehicl_problem_custom']
